Codigo,Descripcion,MOTO,Marca,Precio,Existencia
0388-CK1806,ABRAZADERA INFERIOR DE MANUBRIO,ARENA,CARABELA, 96.00 ,10
0389-CK1806,ABRAZADERA SUPERIOR DE MANUBRIO,ARENA,CARABELA, 96.00 ,9
0268-040703,ALOJAMIENTO DE ACELERADOR,ARENA,CARABELA, 160.00 ,0
0084-CK1802,AMORTIGUADOR TRASERO,ARENA,CARABELA,1334,0
0105-CK1800,ARBOL DE LEVAS,ARENA,CARABELA,1906,43
0086-CK1800,ARNES PRINCIPAL,ARENA,CARABELA, 428.00 ,7
0001-CK1803,ASIENTO,ARENA,CARABELA, 826.00 ,14
0574-250700,ASIENTO SUPERIOR DE RESORTE DE VALVULA,ARENA,CARABELA, 21.00 ,189
0459-060700,BALERO 6001 ABIERTO,ARENA,CARABELA, 66.00 ,19
0308-110500,BALERO 6201 ABIERTO,ARENA,CARABELA, 53.00 ,0
0964-040700,BALERO 6202Z,ARENA,CARABELA, 107.00 ,0
0964-040700,BALERO 6202Z,ARENA,CARABELA, 107.00 ,0
0166-110500,BALERO ABIERTO 6203,ARENA,CARABELA, 95.00 ,36
3040-CK1800,BALERO AHUJA HK1612,ARENA,CARABELA, 116.00 ,80
0404-CK1806,BARRA DE POSAPIE DELANTERA,ARENA,CARABELA, 321.00 ,13
0225-CK1803,BARRA DE SUSPENSION DELANTERA DERECHA,ARENA,CARABELA,1355,16
0226-CK1803,BARRA DE SUSPENSION DELANTERA IZQUIERDA,ARENA,CARABELA,1355,14
0175-250700,BIRLO PRISIONERO DE CARTER DERECHO,ARENA,CARABELA, 23.00 ,48
0174-250700,BIRLO PRISIONERO DE CARTER IZQUIERDO,ARENA,CARABELA, 53.00 ,58
0091-CK1800,BOBINA DE IGNICION,ARENA,CARABELA, 191.00 ,39
0138-250700,BOMBA ACEITE COMPLETA,ARENA,CARABELA, 214.00 ,130
1070-CK1803,BOMBA DE FRENO CON MANIJA DERECHA,ARENA,CARABELA, 535.00 ,18
0611-CK1800,BOMBA DE FRENO TRASERO,ARENA,CARABELA, 321.00 ,4
0218-CK1800,BOTON DE ENCENDIDO,ARENA,CARABELA, 160.00 ,149
0649-250700,BUJE DE ENGRANE DE CLUTCH,ARENA,CARABELA, 43.00 ,70
1560-CK1800,BUJE DE HORQUILLA OSCILANTE,ARENA,CARABELA, 182.00 ,2
0598-CK1800,BUJE DE LLANTA DELANTERA,ARENA,CARABELA, 64.00 ,41
0598-CK1800A,BUJE DE LLANTA DELANTERA,ARENA,CARABELA, 69.00 ,20
0548-CK1800,BUJE DE RUEDA TRASERA,ARENA,CARABELA, 64.00 ,52
0838-CK1800,BUJE DERECHO DE LLANTA TRASERA,ARENA,CARABELA, 75.00 ,51
0838-CK1800A,BUJE DERECHO DE LLANTA TRASERA,ARENA,CARABELA, 75.00 ,54
0794-591000,BUJE GUIA,ARENA,CARABELA, 8.00 ,0
0102-250700,BUJIA 7,ARENA,CARABELA, 60.00 ,395
0096-CK1806,CABEZA DE CILINDRO,ARENA,CARABELA,1313,18
0670-250700,CADENA DE ARRANQUE,ARENA,CARABELA, 103.00 ,20
0173-250700,CADENA DE DISTRIBUCION DE LEVA,ARENA,CARABELA, 160.00 ,0
0387-CK1800,CADENA DE TRANSMISION,ARENA,CARABELA, 551.00 ,56
0557-CK1806,CAJA DE BATERIA,ARENA,CARABELA, 150.00 ,7
0075-CK1803,CALIPER DELANTERO,ARENA,CARABELA, 535.00 ,2
0345-CK1803,CALIPER TRASERO,ARENA,CARABELA, 535.00 ,0
0309-CK1803,CAMARA DELANTERA,ARENA,CARABELA, 392.00 ,39
1207-CK1800,CAMARA TRASERA,ARENA,CARABELA, 381.00 ,23
0071-CK1800,CARBURADOR,ARENA,CARABELA, 900.00 ,20
0169-CK1806,CARTER DERECHO DE MOTOR,ARENA,CARABELA, 749.00 ,4
0168-CK1806,CARTER IZQUIERDO DE MOTOR,ARENA,CARABELA, 962.00 ,4
0209-CK1800,CHICOTE DE ACELERADOR,ARENA,CARABELA, 203.00 ,95
0151-CK1800,CIGUE�AL COMPLETO,ARENA,CARABELA,1059,18
0114-CK1803,CILINDRO,ARENA,CARABELA, 805.00 ,19
0141-CK1800,CLUTCH CENTRIFUGO COMPLETO,ARENA,CARABELA, 962.00 ,16
0237-470800,CONTRA TUERCA DE YUGO,ARENA,CARABELA, 47.00 ,0
0409-CK1800,CORTA CORRIENTE,ARENA,CARABELA, 106.00 ,189
0230-CK1801,CUADRO/CHASIS,ARENA,CARABELA,3850,1
0355-CK1806,CUBIERTA DE CRANK,ARENA,CARABELA,1001,11
0351-CK1806,CUBIERTA DE MAGNETO,ARENA,CARABELA, 535.00 ,13
1112-CK1801,CUBIERTA DE TANQUE DERECHA,ARENA,CARABELA, 160.00 ,9
1112-CK1805,CUBIERTA DE TANQUE DERECHA,ARENA,CARABELA, 160.00 ,18
1111-CK1801,CUBIERTA DE TANQUE IZQUIERDA,ARENA,CARABELA, 160.00 ,7
1111-CK1805,CUBIERTA DE TANQUE IZQUIERDA,ARENA,CARABELA, 160.00 ,13
0580-CK1806,CUBIERTA DECORATIVA DERECHA,ARENA,CARABELA, 203.00 ,24
0437-841006,CUBIERTA DECORATIVA IZQUIERDA,ARENA,CARABELA, 53.00 ,25
0009-CK1802,CUBIERTA FRONTAL,ARENA,CARABELA, 321.00 ,2
0009-CK1805,CUBIERTA FRONTAL,ARENA,CARABELA, 321.00 ,5
0346-CK1806,CUBIERTA IZQUIERDA DE SPROCKET,ARENA,CARABELA, 192.00 ,4
0013-CK1801,CUBIERTA LATERAL DERECHA,ARENA,CARABELA, 321.00 ,35
0013-CK1805,CUBIERTA LATERAL DERECHA,ARENA,CARABELA, 321.00 ,42
0012-CK1801,CUBIERTA LATERAL IZQUIERDA,ARENA,CARABELA, 321.00 ,33
0012-CK1805,CUBIERTA LATERAL IZQUIERDA,ARENA,CARABELA, 321.00 ,35
0336-CK1803,CUBRE CADENA,ARENA,CARABELA, 165.00 ,15
0262-250700,CU�A DE CIGUENAL,ARENA,CARABELA, 23.00 ,0
0188-CK1800,DISCO DE FRENO DELANTERO,ARENA,CARABELA, 360.00 ,37
